book_title|x|y
Frankly in Love (Frankly In Love #1)|266439|308061
Freckles (Limberlost #1)|228407|280930
The Hamlet (The Snopes Trilogy #1)|222982|222131
Hidden Star (Stars of Mithra #1)|380694|316193
The Meaning of Liff (The Meaning of Liff #1)|161800|248225
Grave Mistakes (Hellgate Guardians #1)|328328|294446
The Perfect Block (Jessie Hunt  #2)|335787|200452
I Shall Wear Midnight (Discworld #38)|158764|245056
Silverwing (Silverwing #1)|238059|330971
Chaos in Mudbug (Ghost-in-Law #6)|334849|293380
The Berenstain Bears and the Double Dare (The Berenstain Bears)|220471|293218
The Deal (Off-Campus #1)|387625|248525
Shelter for Sophie (Badge of Honor: Texas Heroes #8)|360251|253487
Sawman Werebear (Saw Bears #4)|350960|283277
Battleborne (Battleborne #1)|139006|226110
Halo (Halo #1)|290364|328922
Frenched (Frenched #1)|383558|247543
A Mate for York (The Program  #1)|348519|282366
Rule Breaker (Breeds #20)|358303|299266
Divorce Horse (Walt Longmire #7.1)|276464|154685
Hunted by Magic (The Baine Chronicles #3)|331677|299598
The Invisibles, Vol. 2: Apocalipstick (The Invisibles #2)|180482|278385
Zeroes (Zeroes #1)|270269|320622
Home (Binti #2)|168820|239073
The Land: Forging (Chaos Seeds #2)|143487|227567
Trunk Music (Harry Bosch #5)|273846|158332
Moving Target (Rarities Unlimited #1)|384344|316518
The Ghost and Mrs. McClure (Haunted Bookshop Mystery #1)|361367|326396
Their Fractured Light (Starbound #3)|274926|314843
The Secret Adversary (Tommy & Tuppence Mysteries #1)|307799|161521
Hard Time (V.I. Warshawski #9)|291555|158359
Sugar and Spice (Hannah Swensen #8.5)|365259|326557
Rebecca's Lost Journals, Volume 1: The Seduction (Inside Out #1.1)|397714|262820
Secrets After Dark (After Dark #2)|396492|264280
A French Girl in New York (The French Girl #1)|308701|194298
The Infernals (Samuel Johnson #2)|271336|164430
Forbidden Nights (Joy Delivered #2)|386624|253663
The Two Princesses of Bamarre (The Two Princesses of Bamarre #1)|237744|325504
The Quantum Thief (Jean le Flambeur #1)|159481|241055
Love and Let Die (Masters and Mercenaries #5)|377593|272813
Cravings: Hungry for More (Cravings #2)|264826|232321
Sing (Songs of Submission #7)|395262|255272
Archangel's Kiss (Guild Hunter #2)|351033|304937
A Free Man of Color (Benjamin January #1)|308585|164481
Lover Awakened (Black Dagger Brotherhood #3)|361712|296496
Silenced (Alaskan Courage #4)|282930|263127
How to Break a Dragon's Heart (How to Train Your Dragon #8)|240221|330251
A Veiled Deception (A Vintage Magic Mystery #1)|360395|327416
Love in the Light (Hearts in Darkness #2)|388327|256611
xxxHolic, Vol. 8 (xxxHOLiC #8)|219469|371978
Plague (The Plague Trilogy #1)|335765|200877
The Royal Treatment (Crown Jewels #1)|354488|241122
Batman: Cataclysm (Batman: No Man's Land (1999-2001) #0)|173921|286509
Rain Dogs (Detective Sean Duffy #5)|280818|174134
Monster Hunter Nemesis (Monster Hunter International #5)|144115|233365
The Tale of Hill Top Farm (The Cottage Tales of Beatrix Potter #1)|310414|162830
Firefly Beach (Hubbard's Point/Black Hall  #1)|299804|233629
Where the Blame Lies (Where... #1)|388571|240575
In a Heartbeat (Rebel Walking #1)|390775|262484
Ambrosia (Book Boyfriend #2)|397109|252210
The Umbrella Academy, Vol. 1:  Apocalypse Suite (The Umbrella Academy (collected editions) #1)|182387|284221
The Lake of Souls (The Saga of Darren Shan #10)|242271|344446
The Fire Rose (Elemental Masters #0)|137243|253269
Last Hit (Hitman #1)|388978|258762
The Beekeeper's Ball (Bella Vista Chronicles #2)|301509|234438
Against the Ropes (Redemption #1)|386758|260917
Many Bloody Returns (Vampire Files #11.4 - Grave-Robbed)|348107|316357
Extreme Prey (Lucas Davenport #26)|278479|160943
Obsidian (Lux #1)|392975|271483
Expire (Dr. Schwartzman #4)|330861|200283
Super Amoeba (Squish #1)|237654|308146
Heaven's Keep (Cork O'Connor #9)|278427|157849
Plain Perfect (Daughters of the Promise #1)|284515|261058
The Magicians and Mrs. Quent (Mrs. Quent #1)|366533|253995
The Fall of Atlantis (The Fall of Atlantis #1-2)|139802|259454
Fair Game (All's Fair #1)|393754|197340
Forever Entangled (Forever Bluegrass #1)|356895|245937
A Zoo in My Luggage (The Zoo Memoirs  #1)|216302|246214
An Autumn War (Long Price Quartet #3)|149149|234258
Dead Is a State of Mind (Dead Is #2)|286822|335579
The Steadfast Tin Soldier (Golden Age of Illustrations)|219507|280043
The Girl You Left Behind (The Girl You Left Behind #1)|282511|216154
Leaving Cheyenne (Thalia, Texas #2)|248288|185907
NARUTO -ナルト- 65 (Naruto #65)|220186|368949
Red Sister (Book of the Ancestor #1)|149430|234678
Crank (The Gibson Boys #1)|377096|245366
Blindsight (Jack Stapleton and Laurie Montgomery #1)|193604|247964
Fourth Debt (Indebted #5)|388773|248521
Warriors of the Storm (The Last Kingdom #9)|172490|205754
Hudson Taylor (Men of Faith)|266713|262036
A Phule and His Money (Phule's Company #3)|141847|249458
Black Butler, Vol. 16 (黒執事 [Kuroshitsuji] #16)|219943|369375
Night Train to Memphis (Vicky Bliss #5)|309763|159478
The Duchess Deal (Girl Meets Duke #1)|399300|308152
The Masque of the Black Tulip (Pink Carnation #2)|312401|163439
Shakespeare's Christmas (Lily Bard #3)|358114|324512
Goodnight, Goodnight, Construction Site (Goodnight, Goodnight, Construction Site)|234777|293948
Heir of the Fae (Dragon's Gift: The Dark Fae #2)|328953|293125
Beautiful Chaos (Caster Chronicles #3)|290434|332144
Matefinder (Matefinder #1)|327072|297442
Furyborn (Empirium #1)|274684|310739
I Survived the Sinking of the Titanic, 1912 (I Survived #1)|233728|310846
Catherine the Great: Portrait of a Woman (The Romanovs #2)|242600|192952
Aurelia (Aurelia #1)|281049|333316
The Accidental Werewolf (Accidentals #1)|348942|313305
Above Suspicion (Anna Travis #1)|301881|183579
Killing Commendatore: A novel (騎士団長殺し [Kishidancho Goroshi] #1-2)|230913|219974
Doom Patrol, Vol. 1: Crawling from the Wreckage (Doom Patrol (1987))|177513|279378
Life After Life (Todd Family #1)|256455|215239
My Best Friend's Brother (Soulmates #2)|366029|240898
Significance (Significance  #1)|392631|264619
Home to Whiskey Creek (Whiskey Creek #4)|383561|296031
The Tied Man (The Tied Man #1)|400739|249481
When It Rains (Rains #1)|396227|249244
The Warlock (The Secrets of the Immortal Nicholas Flamel #5)|245125|331797
The Shadow of Kyoshi (The Kyoshi Novels #2)|267748|305261
The Traitor's Kiss (The Traitor's Circle #1)|276294|315618
Level Up or Die! (Underworld #1)|139984|226576
Rogue Rider (Lords of Deliverance #4)|358877|300724
Off the Record (Record #1)|393033|251151
Warprize (Chronicles of the Warlands #1)|340436|311290
Merlin (The Pendragon Cycle #2)|263305|264307
Antifragile: Things That Gain from Disorder (Incerto #4)|216777|182598
Asterix and the Golden Sickle (Astérix #2)|211486|255604
The Chosen (Night World #5)|290440|337301
Brooke (Under the Never Sky #2.5)|282454|326181
A Beautiful Lie (Playing with Fire #1)|396252|251362
All Roads Lead to You (Stay #3)|345857|225746
Shadows for Silence in the Forests of Hell (The Cosmere)|148001|233432
The Gulag Archipelago 1918–1956 (The Gulag Archipelago 1918-1956 #1-7)|211356|219182
Her Mule Hollow Cowboy (New Horizon Ranch: Mule Hollow #1)|348271|236791
Murder as a Fine Art (Thomas De Quincey #1)|271295|154174
Paradox (FBI Thriller #22)|282932|163858
The Fifth Sacred Thing (Maya Greenwood #1)|209182|196142
Mistletoe and Mr. Right (Moose Springs, Alaska #2)|276810|299106
Abaddon's Gate (The Expanse #3)|154042|237613
Girl Most Likely (Krista Larson #1)|333751|200457
The Forbidden Billionaire (The Sinclairs #2)|364519|250182
The Killing Dance (Anita Blake, Vampire Hunter #6)|345939|316291
Harley Merlin and the Challenge of Chaos (Harley Merlin #8)|324599|293258
Three Girls and a Baby (Three Girls #1)|353177|244618
What Matters Most (Star of the Sea Academy)|297609|231503
The Contract (Uncovering You #1)|396002|260724
Bitter Seeds (Milkweed Triptych #1)|157794|237582
Before the Broken Star (The Evermore Chronicles #1)|317379|285476
